# CHRONO JOURNAL v1.1 — final schema for session 2026-06-21
# Schema version: v1.1 (locked 2026-06-21)
# exposure: none/passive/active/unknown
# baseline_shift: 0=stable / 1=felt baseline changed (recalibration needed)
# delayed_major_event: 0=no / 1=today's forecast may affect tomorrow+ (decision lag)
date,axis_a,axis_b,axis_c,axis_d,mean,score_7,g_day,kp_synthetic,g_confidence,exposure,baseline_shift,delayed_major_event,quality,note,avoided_event
2026-05-12,,,,,,,,,,,,,,retro,
2026-05-13,,,,,,,,,,,,,,retro,
2026-05-14,,,,,,,,,,,,,,retro,
2026-05-17,,,,,,,,,,,,,,retro,
2026-06-21,2,0,0,-1,0.25,+1,+3,TRUE,INVALID,active,0,0,ok,CHRONO+CONFIDENCE+ENGINE_LAYER sessions; knew G=+3 synthetic all day,
2026-06-23,,,,,,,-3,TRUE,HIGH,,,,,Day 2 — заповни A/B/C/D після дня,
